,Number,Country or Organisation
0,101,Afghanistan (Islamic Republic)
1,102,Algeria
2,103,Argentina
3,104 – 108,Australia
4,109,Austria
5,110,Bahamas
6,111,Bahrain
7,112,Bangladesh
8,113,Barbados
9,114,Belgium
10,115,Benin
11,116,Bolivia
12,117,Botswana
13,118 – 122,Brazil
14,123,Bulgaria
15,124,Myanmar (formerly Burma)
16,125,Burundi
17,126,Cameroon
18,127 – 131,Canada
19,132,Central African Republic
20,133,Chad
21,134,Chile
22,135,China
23,136,Colombia
24,137,Republic of the Congo
25,138,Costa Rica
26,139,Cuba
27,140,Cyprus
28,141,Czech Republic
29,142,Denmark
30,143,Dominican Republic
31,144,Ecuador
32,145,Egypt
33,146 – 147,El Salvador
34,148,Ethiopia
35,149,Fiji
36,150,Finland
37,151,France
38,152 – 156,Gabon
39,157,Gambia
40,158,Germany
41,159 – 163,East Germany
42,164,Ghana
43,165,Greece
44,166 – 167,Grenada
45,168,Guinea
46,169,Guyana
47,170,Haiti
48,171,Honduras
49,172,Hungary
50,173,Iceland
51,174,India
52,175 – 179,Indonesia
53,180,Iran
54,181 – 182,Iraq
55,183 – 184,Ireland
56,185,Israel
57,186 – 187,Italy
58,188 – 190,Ivory Coast
59,191,Jamaica
60,192,Japan
61,193,Jordan
62,194 – 195,Kenya
63,196,South Korea
64,197,Kuwait
65,198,Laos
66,199,Lebanon
67,200,Lesotho
68,201,Liberia
69,202,Libya
70,203,Luxembourg
71,204,Malawi
72,205,Malaysia
73,206,Mali
74,207,Malta
75,208,Mauritania
76,209,Mauritius
77,210,Mexico
78,211,Mongolia
79,212,Morocco
80,213,Nepal
81,214,Netherlands
82,215 – 217,New Zealand
83,218 – 219,Nicaragua
84,220,Niger
85,221,Nigeria
86,222 – 224,Norway
87,225,Oman
88,226,Pakistan
89,227 – 228,Panama
90,229,Papua New Guinea
91,230,Paraguay
92,231,Peru
93,232,Philippines
94,233,Poland
95,234,Portugal
96,235,Qatar
97,236,Romania
98,237,Rwanda
99,238,Saudi Arabia
100,239 – 240,Senegal
101,241,Seychelles
102,242,Sierra Leone
103,243,Singapore
104,244,Somalia
105,245,South Africa
106,246 – 247,Russia (originally Soviet Union)
107,248 – 252,Spain
108,253 – 255,Sri Lanka
109,256,Sudan
110,257,Eswatini
111,258,Sweden
112,259,Switzerland
113,260,Syria
114,261,Tanzania
115,262,Thailand
116,263,Togo
117,264,Tonga
118,265,Trinidad and Tobago
119,266,Tunisia
120,267,Turkey
121,268,United Arab Emirates
122,269 – 274,United States
123,275,Uruguay
124,276,Venezuela
125,277,Vietnam
126,278 – 279,Yemen
127,280,Serbia (originally Yugoslavia)
128,281,Democratic Republic of the Congo (formerly Zaire)
129,282,Zambia
130,283,Dominica
131,284,Monaco
132,285,Nauru
133,286,Saint Lucia
134,287,Uganda
135,288,Burkina Faso
136,289,Saint Vincent and the Grenadines
137,290,Zimbabwe
138,291,Vatican City
139,292,East Caribbean
140,293,Belize
141,294,Brunei
142,295,Antigua and Barbuda
143,296,Angola
144,297,Guatemala
145,298,Mozambique
146,299,Namibia
147,300,Lithuania
148,301,Armenia
149,302,Slovenia
150,303,Latvia
151,304,Estonia
152,305,Croatia
153,306,Ukraine
154,307,Slovakia
155,308,Belarus
156,309,Albania
157,310,Azerbaijan
158,311,North Macedonia
159,312,Bosnia and Herzegovina
160,313,Uzbekistan
161,314,Eritrea
162,315,Kazakhstan
163,316,Georgia
164,317,Maldives
165,318,Turkmenistan
166,319,Kyrgyzstan
167,320,Saint Kitts and Nevis
168,321,Montenegro
169,324,San Marino
170,328,South Sudan
171,330,Kosovo
172,350 – 399,May be used by any embassy for security reasons
173,600 – 649,May be used by visiting royalty on official vehicles
174,900,Commonwealth Secretariat
175,901,Council of Europe European Commission
176,902,Council of Europe Council of Europe
177,903,European Centre for Medium-Range Weather Forecasts
178,904,North-East Atlantic Fisheries Commission
179,905,Council of Europe European Parliament
180,906,Inter-American Development Bank
181,907,International Maritime Organization
182,908,International Cocoa Organization
183,909,International Coffee Organization
184,910,International Finance Corporation
185,911,International Labour Organization
186,912,International Sugar Organization
187,913,European Police College
188,914,International Whaling Commission
189,915,International Wheat Council
190,916,NATO North Atlantic Treaty Organization
191,917,United Nations
192,918,Western European Union
193,919,World Health Organization
194,920,Eastern Caribbean Commission
195,921,Joint European Torus
196,922,International Oil Pollution Compensation Fund
197,923,International Maritime Satellite Organisation
198,924,Commonwealth Foundation
199,925,International Maritime Organization (Permanent Representative)
200,926,Commonwealth Telecommunications Bureau
201,927,United Nations High Commissioner for Refugees
202,928,Commonwealth Agricultural Bureaux
203,929,International Lead and Zinc Corporation
204,931,Joint European Torus
205,932,North Atlantic Salmon Conservation Organization
206,933,European Investment Bank
207,934,European Telecommunications Satellite Organisation
208,935,European School (Oxford)
209,936,African Development Bank
210,937,European Bank for Reconstruction and Development
211,938,European Bank for Reconstruction and Development
212,940,European Bioinformatics Institute
213,941,European Medicines Agency
214,943,Oslo and Paris Commissions
215,944,European Banking Authority
